name;team;teamID;age;yearsContract;salary;techLevel;techDev;baseShotIntPercent;baseShotTriplePercent;baseOffensive;baseDefense;loyalty
M-L-凯尔;凯尔特人;1;44;2;4500000;-2;1;40;38;40;41;3
布奇-贝尔德;篮网;2;48;1;4500000;-1;1;41;40;39;41;3
唐-尼尔森;尼克斯;3;55;1;2000000;2;2;35;46;43;38;3
约翰-卢卡斯;76人;4;42;2;2000000;-1;1;43;35;36;45;3
布兰登-马龙;猛龙;5;53;1;2000000;-2;0;37;36;38;45;3
菲尔-杰克逊;公牛;6;50;3;5500000;2;2;37;38;43;39;3
米肯-弗兰特罗;骑士;7;51;4;2000000;1;2;38;39;40;41;3
道格-科林斯;活塞;8;44;3;6500000;1;2;39;38;38;40;3
拉里-布朗;步行者;9;55;2;2000000;2;2;39;38;37;44;3
迈克-邓利维;雄鹿;10;41;1;5000000;1;1;38;40;39;41;3
兰尼-威尔肯斯;老鹰;11;58;5;3500000;2;2;38;40;40;40;4
拜伦-斯科特;山猫;12;34;7;2000000;-2;2;42;36;36;42;3
帕特-莱利;热火;13;50;5;2000000;2;2;38;35;36;43;3
布莱恩-希尔;魔术;14;48;2;2000000;1;1;40;41;39;39;3
吉姆-利那姆;子弹;15;54;2;2000000;0;0;38;41;39;41;3
德克-马丁;小牛;16;64;1;8000000;2;1;40;39;38;40;5
鲁迪-汤姆贾诺维奇;火箭;17;47;5;2000000;2;1;43;36;42;41;3
布莱恩-温特斯;灰熊;18;43;2;3500000;-2;0;39;39;40;40;3
阿兰-布里斯托;黄蜂;19;44;1;2000000;0;0;40;39;40;38;3
波比-希尔;马刺;20;44;2;8000000;1;1;45;34;36;42;5
伯尼-比克斯达夫;掘金;21;51;2;2000000;0;0;43;34;39;42;3
比利-巴雷;森林狼;22;53;1;2000000;-1;1;41;41;39;39;5
PJ-卡勒西莫;开拓者;23;46;2;2000000;-1;0;42;36;37;42;3
乔治-卡尔;超音速;24;44;3;2000000;2;1;35;46;43;38;2
杰里-斯隆;爵士;25;53;5;2000000;2;2;42;35;42;40;3
里克-阿德尔曼;勇士;26;49;2;6500000;1;2;37;43;44;36;5
比尔-费奇;快船;27;63;3;7500000;2;2;40;38;37;43;3
德尔-哈里斯;湖人;28;58;4;2000000;2;2;41;41;40;38;3
保罗-韦斯特法尔;太阳;29;45;1;2000000;1;1;34;46;43;36;3
加里-圣-吉恩;国王;30;44;2;2000000;1;-1;41;39;39;39;2
菲利普-桑德斯;0;0;40;0;0;1;1;41;40;41;41;5
科顿-菲茨西蒙斯;0;0;64;0;0;2;1;35;42;41;37;5
杰夫-范甘迪;0;0;33;0;0;1;1;40;35;36;44;3
艾尔-阿特尔斯;0;0;59;0;0;2;2;38;39;41;41;5
埃尔金-贝勒;0;0;61;0;0;0;0;40;38;38;41;3
比利-坎宁安;0;0;52;0;0;2;2;40;41;41;41;5
汤姆-尼萨尔科;0;0;62;0;0;1;1;38;40;40;38;5
里克-皮蒂诺;0;0;43;0;0;2;2;38;41;38;38;5
以赛亚-托马斯;0;0;34;0;0;1;0;40;40;38;41;3
韦斯-昂塞尔德;0;0;49;0;0;0;1;41;38;40;41;2
杰里-韦斯特;0;0;57;0;0;1;2;41;41;38;38;5
格雷格-波波维奇;0;0;47;0;0;2;2;45;37;42;40;5
迈克-德安东尼;0;0;44;0;0;1;1;34;46;45;35;5
斯科特-布鲁克斯;0;0;30;0;0;1;1;38;41;39;38;5
