﻿No;name;nameBirth;positionFirst;positionSecond;potential;skillPass;skillShotInterior;skillShotExterior;skillShotFree;skillPhysique;skillBlock;skillRebound;skillSteal;tendencyIn;tendencyEx;tendencyFr;ATT;DEF;Ranks;age;yearsLeague;team;teamID;yearsContract;salary;draft;image;info;allStars;allStarsMvps;allTeam1;allTeam2;allTeam3;best3ptsers;bestBlockers;bestPassers;bestRebounders;bestRookie;bestScorers;bestStealers;defTeam1;defTeam2;defTeam3;dpoy;fmvps;mvps;rings;sixmans
1;杰森-塔图姆;Jayson Tatum;4;3;10;81;88;89;87;92;73;82;84;86;91;85;93;88;90;27;8;凯尔特人;1;4;34848340;201703;146;0;6;1;4;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
2;杰伦-布朗;Jaylen Brown;3;2;9;78;88;84;91;90;69;75;80;89;86;90;91;82;88;29;9;凯尔特人;1;4;49205800;201603;96;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0
3;德里克-怀特;Derrick White;2;1;8;84;76;84;85;84;79;70;86;76;90;78;87;85;86;31;8;凯尔特人;1;4;20071429;201729;507;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0
4;佩顿-普里查德;Payton Pritchard;1;0;8;83;81;82;86;82;60;71;69;81;84;81;88;72;81;27;5;凯尔特人;1;3;6696429;202026;1400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
5;乔丹-沃尔什;Jordan Walsh;3;4;7;60;77;77;80;82;75;78;84;74;72;60;72;84;79;21;2;凯尔特人;1;2;1891857;202338;2926;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
6;安芬尼-西蒙斯;Anfernee Simons;2;1;8;74;78;85;80;84;56;67;68;81;85;77;83;70;77;26;7;凯尔特人;1;1;25892857;201824;323;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;克里斯-布歇;Chris Boucher;5;4;7;50;80;72;74;82;74;76;73;75;72;65;71;79;76;33;8;凯尔特人;1;1;3300000;201700;420;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
8;内米亚斯-克塔;Neemias Queta;5;0;7;62;86;50;60;85;80;88;67;81;40;50;64;86;76;25;4;凯尔特人;1;2;2162606;202139;1170;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
9;萨姆-豪瑟;Sam Hauser;3;4;7;60;72;84;82;75;70;70;71;70;85;70;75;73;75;27;4;凯尔特人;1;4;2092344;202100;1040;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
10;约什-米诺特;Josh Minott;3;4;7;67;70;78;73;77;65;75;72;72;78;73;73;74;75;23;3;凯尔特人;1;2;636435;202245;2037;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;贝勒-沙伊尔曼;Baylor Scheierman;2;3;6;65;76;80;76;77;65;70;68;70;77;70;74;71;72;24;1;凯尔特人;1;4;2494320;202430;3160;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;泽维尔-蒂尔曼;Xavier Tillman Sr.;5;0;6;56;72;61;65;76;75;75;73;65;60;58;62;77;70;26;5;凯尔特人;1;1;2237691;202035;940;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
13;卢卡-加尔扎;Luka Garza;5;0;6;51;74;69;75;75;74;74;50;72;69;65;68;71;70;26;4;凯尔特人;1;2;2750000;202152;1080;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;乌戈-冈萨雷斯;Hugo Gonzalez;3;2;7;65;64;70;65;75;62;69;68;66;74;67;66;69;68;19;0;凯尔特人;1;4;3574536;202528;3286;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
