No;name;nameBirth;positionFirst;positionSecond;potential;skillPass;skillShotInterior;skillShotExterior;skillShotFree;skillPhysique;skillBlock;skillRebound;skillSteal;tendencyIn;tendencyEx;tendencyFr;ATT;DEF;Ranks;age;yearsLeague;team;teamID;yearsContract;salary;stateInjury;draft;image;info;allStars;allStarsMvps;allTeam1;allTeam2;allTeam3;best3ptsers;bestBlockers;bestPassers;bestRebounders;bestRookie;bestScorers;bestStealers;defTeam1;defTeam2;defTeam3;dpoy;fmvps;mvps;rings;sixmans
1;杰森-塔图姆;Jayson Tatum;4;3;10;74;88;90;88;93;71;82;84;86;91;85;92;87;90;25;6;凯尔特人;1;3;32600000;0;201703;146;0;4;1;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;克里斯塔普斯-波尔津吉斯;Kristaps Porziņģis;5;4;9;61;89;86;85;85;82;85;60;82;78;80;85;85;85;28;8;凯尔特人;1;1;36020000;0;201504;197;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;杰伦-布朗;Jaylen Brown;3;2;10;72;90;86;87;90;72;73;79;88;85;85;89;82;87;27;7;凯尔特人;1;6;50000000;0;201603;96;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;朱-霍乐迪;Jrue Holiday;1;2;9;84;75;84;80;86;76;70;89;77;83;75;86;86;86;33;14;凯尔特人;1;2;36860000;0;200917;111;0;2;0;0;0;0;0;0;0;0;0;0;0;3;2;0;0;0;0;1;0
5;德里克-怀特;Derrick White;2;1;9;81;84;88;81;86;72;65;83;80;83;75;86;81;84;29;6;凯尔特人;1;1;18360000;0;201729;507;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
6;艾尔-霍福德;Al Horford;5;4;8;67;78;86;80;79;73;84;72;76;80;75;81;81;81;37;16;凯尔特人;1;2;10000000;0;200703;110;0;5;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
7;萨姆-豪瑟;Sam Hauser;3;4;7;60;75;86;84;75;72;70;65;70;90;70;77;71;75;25;2;凯尔特人;1;2;2000000;0;202100;1040;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;杰登-斯普林格;Jaden Springer;2;1;7;65;72;66;72;79;73;64;77;68;70;68;67;76;71;20;2;凯尔特人;1;2;3000000;0;202128;1467;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;佩顿-普理查德;Payton Pritchard;1;0;8;79;81;80;76;79;60;71;65;70;76;70;80;70;76;25;3;凯尔特人;1;4;4000000;0;202026;1400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;卢克-科内特;Luke Kornet;5;0;7;57;80;65;70;79;72;79;57;79;55;60;69;75;72;28;6;凯尔特人;1;1;3000000;0;201700;546;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
