No;name;nameBirth;positionFirst;positionSecond;potential;skillPass;skillShotInterior;skillShotExterior;skillShotFree;skillPhysique;skillBlock;skillRebound;skillSteal;tendencyIn;tendencyEx;tendencyFr;ATT;DEF;Ranks;age;yearsLeague;team;teamID;yearsContract;salary;stateInjury;draft;image;info;rings;mvps;fmvps;allTeam1;allTeam2;allTeam3
1;杰森-塔图姆;Jayson Tatum;3;4;10;79;91;90;84;89;71;81;84;88;91;85;92;86;90;24;5;凯尔特人;1;4;32600000;0;201703;146;0;0;0;0;1;0;3
2;杰伦-布朗;Jaylen Brown;2;3;10;74;87;87;89;91;72;72;81;85;89;85;89;84;87;26;6;凯尔特人;1;2;22740000;0;201603;96;0;0;0;0;0;0;0
3;布雷克-格里芬;Blake Griffin;4;5;8;65;76;72;67;74;66;75;66;73;72;75;73;71;72;33;13;凯尔特人;1;1;2800000;0;200901;103;0;0;0;0;0;2;3
4;马尔科姆-布罗格登;Malcolm Brogdon;2;1;8;73;82;86;85;84;60;69;80;81;86;76;85;77;81;30;6;凯尔特人;1;1;19760000;0;201636;202;0;0;0;0;0;0;0
5;德里克-怀特;Derrick White;2;1;7;78;77;83;82;81;65;63;72;74;80;75;82;72;77;28;5;凯尔特人;1;2;3520000;0;201729;507;0;0;0;0;0;0;0
6;达尼罗-加里纳利;Danilo Gallinari;3;4;8;50;75;83;80;80;60;71;60;77;80;69;72;68;71;34;14;凯尔特人;1;2;7500000;0;200806;235;0;0;0;0;0;0;0
7;艾尔-霍福德;Al Horford;5;4;9;70;79;83;80;79;73;83;70;76;81;83;83;80;81;36;15;凯尔特人;1;3;10000000;0;200703;110;0;0;0;0;0;0;1
8;马库斯-斯玛特;Marcus Smart;1;2;9;82;72;76;73;85;72;71;88;75;78;67;79;85;82;28;8;凯尔特人;1;3;18580000;0;201406;300;0;0;0;0;0;0;0
9;萨姆-豪瑟;Sam Hauser;3;4;6;60;71;68;70;71;60;58;61;63;69;59;64;60;63;24;1;凯尔特人;1;3;2000000;0;202100;1040;0;0;0;0;0;0;0
10;迈克-穆斯卡拉;Mike Muscala;4;5;7;56;77;79;71;76;61;73;63;69;77;66;71;69;70;31;9;凯尔特人;1;1;3500000;0;201344;1344;0;0;0;0;0;0;0
11;卢克-科内特;Luke Kornet;4;5;7;57;68;74;80;76;72;74;57;66;72;70;69;72;71;27;5;凯尔特人;1;1;3000000;0;201700;546;0;0;0;0;0;0;0
12;佩顿-普理查德;Payton Pritchard;1;0;8;78;77;78;79;73;55;71;60;70;80;70;80;64;73;24;2;凯尔特人;1;2;3200000;0;202026;1400;0;0;0;0;0;0;0
13;格兰特-威廉姆斯;Grant Williams;4;3;7;61;77;75;79;78;80;73;70;69;73;71;73;78;76;24;3;凯尔特人;1;2;4000000;0;201922;1523;0;0;0;0;0;0;0
14;菲翁杜-卡本盖莱;Mfiondu Kabengele;4;5;6;53;71;75;62;70;68;72;48;69;73;40;63;65;64;25;3;凯尔特人;1;1;1920000;0;201927;1104;0;0;0;0;0;0;0
15;贾斯汀-尚帕尼;Justin Champagnie;3;2;6;63;73;70;69;73;56;70;61;64;70;59;66;64;66;21;1;凯尔特人;1;1;53176;0;202100;2122;0;0;0;0;0;0;0
16;罗伯特-威廉姆斯;Robert Williams;4;5;9;60;84;67;71;88;90;85;68;80;66;65;72;90;81;25;4;凯尔特人;1;4;12050000;0;201827;314;0;0;0;0;0;0;0
17;JD-戴维森;JD Davison;1;0;6;69;60;68;67;68;71;60;69;61;71;42;63;66;65;22;0;凯尔特人;1;2;1350000;0;202253;1757;0;0;0;0;0;0;0
18;本-西蒙斯;Ben Simmons;4;5;9;85;84;50;55;85;80;84;85;75;30;40;64;88;77;26;6;篮网;2;3;30560000;0;201601;156;0;0;0;0;0;0;1
19;塞斯-库里;Seth Curry;2;1;8;74;74;88;80;79;45;68;70;71;87;76;82;66;75;32;9;篮网;2;1;7810000;0;201300;558;0;0;0;0;0;0;0
20;米卡尔-布里奇斯;Mikal Bridges;3;0;9;60;69;90;75;88;82;81;85;63;80;73;73;90;82;26;4;篮网;2;3;21700000;0;201810;415;0;0;0;0;0;0;0
21;斯潘塞-丁威迪;Spencer Dinwiddie;1;2;8;81;81;85;81;84;57;63;69;79;88;78;87;70;79;29;8;篮网;2;2;21000000;0;201438;208;0;0;0;0;0;0;0
22;卡梅伦-约翰逊;Cameron Johnson;4;3;7;55;72;86;74;76;74;74;65;85;77;68;75;74;75;26;3;篮网;2;1;5000000;0;201911;737;0;0;0;0;0;0;0
23;帕蒂-米尔斯;Patty Mills;1;0;7;72;74;84;82;80;45;60;60;69;87;74;81;61;72;34;13;篮网;2;2;7250000;0;200955;619;0;1;0;0;0;0;0
24;乔-哈里斯;Joe Harris;3;2;7;66;74;84;79;79;45;66;69;69;83;69;76;64;71;31;8;篮网;2;2;16070000;0;201433;486;0;0;0;0;0;0;0
25;卡梅隆-托马斯;Cam Thomas;2;0;9;76;81;87;84;85;61;65;73;86;83;74;85;73;80;20;1;篮网;2;3;3250000;0;202127;1504;0;0;0;0;0;0;0
26;多里安-芬尼-史密斯;Dorian Finney-Smith;3;4;8;65;74;84;80;82;63;74;80;71;72;70;75;77;77;29;6;篮网;2;3;13390000;0;201600;464;0;0;0;0;0;0;0
27;罗伊斯-奥尼尔;Royce O'Neale;3;2;8;62;77;79;76;80;75;76;79;69;77;67;73;81;78;29;7;篮网;2;2;9300000;0;201500;818;0;0;0;0;0;0;0
28;埃德蒙-萨姆纳;Edmond Sumner;1;2;6;68;70;76;71;75;50;63;66;68;78;57;71;64;68;27;5;篮网;2;1;3210000;0;201752;1430;0;0;0;0;0;0;0
29;摩西-布朗;Moses Brown;5;4;7;55;76;50;61;79;78;79;51;69;35;39;55;77;67;23;3;篮网;2;1;53176;0;201900;412;0;0;0;0;0;0;0
30;尼古拉斯-克拉克斯顿;Nicolas Claxton;5;4;8;60;86;62;70;88;89;85;73;69;60;65;70;91;81;23;3;篮网;2;2;10000000;0;201931;1145;0;0;0;0;0;0;0
31;戴罗恩-夏普;Day'Ron Sharpe;4;5;6;59;77;50;59;79;73;81;51;66;42;36;54;74;65;20;1;篮网;2;3;2750000;0;202129;1577;0;0;0;0;0;0;0
32;大卫-杜克;David Duke Jr.;1;2;6;62;62;70;66;67;60;60;70;61;73;41;61;64;63;23;1;篮网;2;1;53176;0;202100;947;0;0;0;0;0;0;0
33;渡边雄太;Yuta Watanabe;4;3;6;60;73;75;65;73;67;73;65;65;69;63;67;70;69;28;4;篮网;2;1;1970000;0;201800;449;0;0;0;0;0;0;0
34;德鲁-史密斯;Dru Smith;2;1;6;70;65;72;69;72;57;62;72;63;73;56;67;66;66;24;0;篮网;2;1;53176;0;202200;1445;0;0;0;0;0;0;0
