No;name;nameBirth;positionFirst;positionSecond;potential;skillPass;skillShotInterior;skillShotExterior;skillShotFree;skillPhysique;skillBlock;skillRebound;skillSteal;tendencyIn;tendencyEx;tendencyFr;ATT;DEF;Ranks;age;yearsLeague;team;teamID;yearsContract;salary;stateInjury;draft;image;info;allStars;allStarsMvps;allTeam1;allTeam2;allTeam3;best3ptsers;bestBlockers;bestPassers;bestRebounders;bestRookie;bestScorers;bestStealers;defTeam1;defTeam2;dpoy;fmvps;mvps;rings;sixmans
1;小以赛亚-托马斯;Isaiah Thomas;1;0;8;80;83;85;88;86;51;62;72;82;85;87;90;70;81;26;4;凯尔特人;1;3;6900000;0;201160;699;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;埃弗里-布拉德利;Avery Bradley;2;1;7;76;83;78;82;81;67;71;86;81;78;80;82;81;81;25;5;凯尔特人;1;3;7800000;0;201019;406;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
3;杰-克劳德;Jae Crowder;3;4;7;67;76;78;74;82;70;71;72;72;78;75;75;76;77;25;3;凯尔特人;1;3;6000000;0;201234;551;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;埃文-特纳;Evan Turner;3;2;7;74;79;64;76;82;68;73;75;75;64;72;74;77;76;27;5;凯尔特人;1;1;3430000;0;201002;306;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;凯利-奥利尼克;Kelly Olynyk;5;4;7;69;75;80;72;80;70;76;69;72;75;67;76;76;76;24;2;凯尔特人;1;2;2170000;0;201313;815;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;贾里德-萨林格;Jared Sullinger;4;5;7;68;82;62;70;82;68;79;66;74;62;72;72;76;74;23;3;凯尔特人;1;1;2270000;0;201221;1428;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;马库斯-斯玛特;Marcus Smart;1;2;8;70;68;63;65;83;67;65;80;67;70;60;66;78;71;21;1;凯尔特人;1;3;3430000;0;201406;300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;阿米尔-约翰逊;Amir Johnson;4;5;6;65;80;65;65;81;67;77;62;70;67;57;68;74;71;28;10;凯尔特人;1;3;12000000;0;200556;1604;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;特里-罗齐尔;Terry Rozier;1;2;8;67;68;74;71;81;60;61;73;70;72;70;71;71;71;21;0;凯尔特人;1;3;1820000;0;201516;595;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;泰勒-泽勒;Tyler Zeller;5;0;6;60;78;55;70;78;70;75;59;72;50;65;66;73;70;25;3;凯尔特人;1;1;2620000;0;201217;1624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;约纳斯-杰雷布科;Jonas Jerebko;4;3;5;60;74;69;65;77;67;71;62;68;65;62;66;70;68;28;6;凯尔特人;1;2;5000000;0;200939;1098;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;RJ-亨特;R. J. Hunter;2;1;5;60;65;69;73;73;58;61;63;63;71;72;65;63;64;22;0;凯尔特人;1;1;1150000;0;201528;1851;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13;科迪-克拉克;Coty Clarke;3;0;6;60;61;67;64;77;60;66;57;63;68;55;60;64;63;23;0;凯尔特人;1;1;60000;0;0;5001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;乔丹-米基;Jordan Mickey;2;3;5;60;64;69;60;73;60;64;56;62;71;50;60;61;61;21;0;凯尔特人;1;2;1200000;0;201533;1312;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
