No;name;nameBirth;positionFirst;positionSecond;potential;skillPass;skillShotInterior;skillShotExterior;skillShotFree;skillPhysique;skillBlock;skillRebound;skillSteal;tendencyIn;tendencyEx;tendencyFr;ATT;DEF;Ranks;age;yearsLeague;team;teamID;yearsContract;salary;draft;image;info;allStars;allStarsMvps;allTeam1;allTeam2;allTeam3;best3ptsers;bestBlockers;bestPassers;bestRebounders;bestRookie;bestScorers;bestStealers;defTeam1;defTeam2;defTeam3;dpoy;fmvps;mvps;rings;sixmans
1;约翰-哈夫利切克;John Havlicek;3;2;10;84;92;75;92;91;67;75;92;87;75;90;91;86;90;31;9;凯尔特人;1;4;0;196209;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;乔乔-怀特;Jo Jo White;1;0;9;75;89;82;91;88;70;68;89;81;83;82;88;85;87;25;2;凯尔特人;1;2;0;196909;424;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;戴夫-考恩斯;Dave Cowens;5;4;9;63;88;54;67;89;88;92;58;81;55;64;71;91;81;23;1;凯尔特人;1;4;0;197004;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;唐-钱尼;Don Chaney;1;0;8;64;81;74;79;90;69;71;92;76;76;67;75;88;81;25;3;凯尔特人;1;1;0;196812;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;唐-尼尔森;Don Nelson;3;4;7;65;84;68;75;93;70;73;78;74;69;68;73;83;79;31;9;凯尔特人;1;2;0;196219;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;汤姆-桑德斯;Tom Sanders;3;4;6;69;67;71;70;73;63;69;65;63;71;62;67;67;68;33;11;凯尔特人;1;1;0;196008;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;亚特-威廉姆斯;Art Williams;1;0;6;75;63;71;62;60;60;58;69;60;74;53;67;60;64;32;4;凯尔特人;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;史蒂夫-库佩斯基;Steve Kuberski;4;3;6;64;62;59;63;68;60;63;50;61;60;56;59;58;59;24;2;凯尔特人;1;2;0;196952;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;汉克-芬克尔;Hank Finkel;5;0;6;64;77;52;68;73;71;72;56;65;54;64;64;70;67;29;7;凯尔特人;1;1;0;196432;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;雷克斯-摩根;Rex Morgan;2;0;6;59;62;66;60;59;59;62;61;60;68;50;58;57;58;23;1;凯尔特人;1;3;0;197021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;加菲尔德-史密斯;Garfield Smith;5;4;6;61;76;61;56;64;68;75;53;63;61;52;62;66;64;26;4;凯尔特人;1;1;0;196832;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;克拉伦斯-格洛弗;Clarence Glover;4;0;6;69;75;65;70;74;73;70;63;65;65;65;69;71;70;25;3;凯尔特人;1;2;0;197110;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13;里克-巴里;Rick Barry;3;4;10;77;94;69;85;90;68;77;84;90;70;82;85;84;86;27;5;篮网;2;1;0;196504;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
