No;name;nameBirth;positionFirst;positionSecond;potential;skillPass;skillShotInterior;skillShotExterior;skillShotFree;skillPhysique;skillBlock;skillRebound;skillSteal;tendencyIn;tendencyEx;tendencyFr;ATT;DEF;Ranks;age;yearsLeague;team;teamID;yearsContract;salary;stateInjury;draft;image
1;多米尼克-琼斯;DOMINIQUE JONES;2;0;9;95;93;82;93;95;69;84;86;92;90;90;98;90;94;36;12;0;0;1;0;0;201300;1413
2;基兹林克;Tomas Kyzlink;5;0;8;82;87;94;78;82;69;72;76;81;95;72;91;76;83;32;1;0;0;1;0;0;0;5001
3;卡威尔·毕格柏-威廉姆斯;KAVELL BIGBY-WILLIAMS;5;0;8;65;93;49;79;81;76;85;67;87;62;76;77;82;80;30;1;0;0;1;0;0;0;5001
4;姜宇星;Jiang Yuxing;3;0;9;70;90;67;63;89;68;70;73;83;69;70;74;78;77;30;7;辽宁;2;2;0;0;201801;527
5;姜伟泽;Jiang Weize;1;0;8;75;59;91;75;86;68;67;70;66;84;73;79;75;77;25;7;吉林;1;4;0;0;201800;526
6;贾昊;HaoJia;3;0;6;68;66;88;82;79;70;66;69;67;74;71;75;72;75;26;4;吉林;1;2;0;0;202111;5001
7;崔晋铭;Cui Jinming;2;0;8;70;76;78;67;78;67;67;71;71;71;70;73;72;73;32;12;吉林;1;1;0;0;201300;5001
8;栾利程;Luan licheng;2;0;6;68;87;69;74;79;68;67;70;80;69;69;74;72;73;27;4;吉林;1;2;0;0;202100;5001
9;吴昌泽;Wu Changze;4;0;6;67;65;85;61;82;72;71;72;67;75;67;70;77;73;25;5;辽宁;2;4;0;0;202000;5001
10;代怀博;Dai HuaiBo;4;0;6;68;85;71;68;71;72;67;65;82;68;71;76;69;72;31;12;0;0;2;0;0;201300;5001
11;李安;Li An;5;0;6;65;60;69;81;71;71;72;68;65;71;69;68;71;70;34;15;0;0;1;0;0;201000;5001
12;张航源;Zhang Hangyuan;5;0;7;62;72;72;61;73;71;73;55;69;70;56;67;70;69;19;1;吉林;1;1;0;0;0;5001
13;鲁吐布拉;Lutubula;5;0;6;65;75;73;67;66;70;71;64;70;62;67;71;68;69;25;6;宁波;23;3;0;0;201900;5001
14;蔡林翰;Cai Linhan;2;0;6;65;60;68;73;67;67;63;66;65;72;68;66;65;65;20;1;吉林;1;2;0;0;202400;5001
