No;name;nameBirth;positionFirst;positionSecond;potential;skillPass;skillShotInterior;skillShotExterior;skillShotFree;skillPhysique;skillBlock;skillRebound;skillSteal;tendencyIn;tendencyEx;tendencyFr;ATT;DEF;Ranks;age;yearsLeague;team;teamID;yearsContract;salary;stateInjury;draft;image;info
1;胡金秋;Hu JinQiu;4;0;10;61;96;76;76;93;86;90;76;89;76;73;82;94;88;26;9;中国;1;0;0;0;201500;228;胡金秋（1997年9月24日—），出生于中国新疆尉犁县，现役中国职业篮球运动员，现效力于CBA联盟的浙江广厦，场上位置为大前锋。2012年7月，初三刚毕业的他被浙江广厦俱乐部招募，来到杭州。
2;杨瀚森;Yang Hansen;5;0;10;71;86;69;67;84;88;89;64;82;68;66;77;89;83;19;0;0;0;0;0;0;202400;730;杨瀚森（2005年6月26日—），中国男子篮球运动员，司职中锋。2023年至2025年效力于中国男子篮球职业联赛青岛雄鹰，2025年NBA选秀中由孟菲斯灰熊于首轮16顺位选中，中选后被交易至波特兰开拓者。
3;高诗岩;Gao ShiYan;1;0;8;87;80;76;77;80;60;76;92;76;72;70;82;84;83;28;9;中国;1;0;0;0;201500;2905;高诗岩（1996年1月22日—），辽宁丹东人，中国男子篮球运动员。曾联同队友颜鹏、李浩南和胡金秋代表中国参加2020年夏季奥林匹克运动会男子三对三篮球比赛。
4;曾凡博;Zeng Fanbo;3;0;10;72;83;80;76;82;82;78;75;82;75;80;81;83;83;21;2;0;0;0;0;0;202200;421;曾凡博（2003年1月11日—），出生于黑龙江哈尔滨，中华人民共和国旅美职业篮球运动员，现效力于中国男子篮球职业联赛，司职前锋。高中时期效力于佛罗里达州温德米尔预科学校，曾被ESPN授予四星高中生。曾与贡扎加大学达成口头协议加盟，但由于球队教练的离职改变选择加盟NBA发展联盟点燃队，赛季结束后在NBA2021年选秀大会上落选，后回到CBA母队北京首钢发展。
5;张宁;Ning Zhang;3;0;8;71;84;86;79;82;70;78;78;82;85;81;84;80;83;27;4;0;0;0;0;0;202000;743;张宁（1997年2月19日—），河北省承德市人，中国篮球运动员，现效力于山西汾酒职业篮球俱乐部，司职小前锋。代表中国3x3男子篮球队参加2024年夏季奥林匹克运动会。
6;廖三宁;Liao Sanning;2;0;10;82;87;76;84;80;64;68;86;85;72;80;84;78;82;23;3;中国;1;0;0;0;202100;3136;廖三宁，2001年1月29日生于广西壮族自治区南宁市，中国篮球运动员，场上司职后卫，效力中国男子篮球职业联赛（CBA）的北京紫禁勇士俱乐部。
7;胡明轩;Hu Mingxuan;2;0;9;76;83;88;83;80;66;71;77;80;85;79;85;76;81;26;7;中国;1;0;0;0;201700;1527;胡明轩（1998年3月10日—），新疆乌鲁木齐人，中国大陆男子职业篮球运动员，司职双能卫，目前效力于CBA联盟的广东华南虎队，同时是中国国家男子篮球队队员。
8;王岚嵚;WangLanQin;1;0;7;80;77;77;82;80;63;75;78;77;82;77;84;78;81;26;2;0;0;0;0;0;202200;704;王岚嵚，1998年3月23日出生于山东省潍坊市，中国职业男子篮球运动员，司职后卫，毕业于清华大学，现效力于CBA辽宁沈阳三生飞豹篮球俱乐部。
9;余嘉豪;Yu Jiahao;5;0;9;67;91;60;64;86;82;87;61;88;59;55;74;86;80;21;3;中国;1;0;0;0;202100;735;余嘉豪（Yu Jiahao），2003年3月18日出生于浙江省杭州市，中国篮球运动员，场上司职中锋，效力于中国男子篮球职业联赛（CBA）的浙江稠州银行金牛俱乐部。
10;程帅澎;Cheng Shuaipeng;2;0;8;67;77;96;85;82;67;61;78;76;92;73;84;75;80;24;7;中国;1;0;0;0;201700;686;程帅澎，1999年6月3日生于江苏连云港，中国职业篮球运动员，司职得分后卫，效力于CBA浙江稠州金牛俱乐部。
11;付豪;Fu Hao;4;0;8;64;87;64;65;83;71;80;71;84;70;68;74;79;77;26;9;0;0;0;0;0;201500;2890;付豪，男，1997年8月24日出生于辽宁省沈阳市，中国职业篮球运动员，司职中锋/大前锋，曾效力于CBA八一南昌火箭篮球队，现效力于CBA辽宁沈阳三生飞豹篮球俱乐部。
463;朱俊龙;Zhu Junlong;3;0;8;75;76;75;78;82;78;80;83;69;73;69;74;84;80;24;5;中国;1;3;0;0;201900;2860;朱俊龙，1999年7月13日出生于吉林省长春市，中国篮球运动员，场上司职小前锋，效力于CBA浙江广厦猛狮俱乐部。
13;河村勇辉;Yuki Kawamura;1;0;9;82;85;92;84;80;45;74;74;75;95;83;92;72;83;23;1;日本;2;0;0;0;0;3233;河村勇辉（日语：河村 勇輝／かわむら ゆうき Kawamura Yuki，2001年5月2日—），为日本男子篮球运动员之一，18岁时以特别指定球员与B联赛球队三远新凤凰签约。目前效力于NBA孟菲斯灰熊队，主打控球后卫。
14;约什-霍金森;Josh Hawkinson;4;5;8;62;73;85;72;83;72;82;70;74;74;74;75;80;78;29;1;日本;2;0;0;0;0;5001;约书亚-哈肯-霍金森（Joshua Haakon Hawkinson，1995 年 6 月 23 日出生）是一名出生于美国的日本职业篮球运动员，现效力于 B 联赛涩谷太阳岩石队。他曾效力于华盛顿州立美洲狮队（Washington State Cougars），并在职业生涯结束时成为该校历史上篮板和两双次数最多的球员。他于 2023 年成为日本公民。
15;比江岛慎;Makoto Hiejima;2;0;7;74;78;83;66;80;65;65;79;75;79;72;77;75;76;33;1;日本;2;0;0;0;0;5001;比江島慎（日语：Makoto Hiejima，1990 年 8 月 11 日出生），日本职业篮球运动员，现效力于日本乙级联赛宇都宫布雷克斯队。
16;八村塁;Rui Hachimura;4;3;8;58;82;82;83;83;67;68;62;78;75;80;79;72;75;26;4;日本;2;0;0;0;201909;180;八村塁（日语：八村塁，合音：Hachimura Rui，出生于 1998 年 2 月 8 日），日本职业篮球运动员，现效力于美国国家篮球协会（NBA）洛杉矶湖人队。他曾在大学篮球队贡萨加牛头犬队效力，并曾代表日本国家队出战。他司职小前锋和大前锋两个位置。在 2019 年 NBA 选秀大会上，他在第九顺位被华盛顿奇才队选中，并于 2020 年入选 NBA 全明星阵容第二队。
17;富㭴勇树;Yuki Togashi;1;0;8;75;74;77;71;63;60;61;68;72;77;73;77;62;70;30;1;日本;2;0;0;0;0;5001;富㭴勇树（Yuki Togashi，1993 年 7 月 30 日出生），日本职业篮球运动员，现效力于日本乙级联赛千叶喷气机船桥队。
18;渡边雄太;Yuta Watanabe;4;3;9;60;73;75;65;73;67;73;65;65;69;63;67;70;69;29;5;日本;2;0;0;0;201800;449;渡边雄太（ Watanabe Yūta，生于 1994 年 10 月 13 日），日本职业篮球运动员，曾效力于美国国家篮球协会（NBA）孟菲斯灰熊队。他曾在美国乔治-华盛顿殖民队（现为革命队）打大学篮球，是第一位获得 NCAA 一级篮球联赛奖学金的日本出生的学生运动员。他在 2018 年被评为大西洋 10 区年度最佳防守球员。他还曾代表日本国家队出战，帮助日本队在 2013 年东亚篮球锦标赛上夺得铜牌。
19;吉井裕鹰;Hirotaka Yoshii;3;0;7;67;70;67;65;62;73;65;75;67;67;66;66;68;68;26;1;日本;2;0;0;0;0;5001;吉井裕鹰是一名出生于1998年6月4日的篮球运动员。他的身高为六英尺五英寸（1米96 / 6-5）。他是一名小前锋，最近效力于日本 B1 联赛的丰田阿尔瓦克队。
20;渡边飞勇;Hugh Watanabe;2;0;7;73;67;72;65;65;55;63;70;65;76;68;70;62;66;25;1;日本;2;0;0;0;0;5001;渡邉飛勇（ワタナべ-ヒュー，Watanabe Hyū，生于 1998 年 12 月 23 日），又名休-霍格兰（Hugh Hogland），日裔美国人，职业篮球运动员，效力于 B 联盟的琉球黄金王队。他曾在大学篮球队波特兰飞行员队和加州大学戴维斯分校Aggies队效力。渡边曾是日本国家篮球队成员。
21;提布斯-海;Kai Toews;1;0;8;62;72;72;61;73;71;73;55;69;70;56;65;66;65;25;0;日本;2;0;0;0;0;5001;凯-托伊斯（テーブス海，生于 1998 年 9 月 17 日），日本职业篮球运动员，现效力于 B 级联赛的东京阿尔瓦克队。他的表弟乔纳森-托伊斯曾在 2007 年至 2023 年期间效力于美国国家冰球联盟的芝加哥黑鹰队。
22;雅各布斯-晶;Akira Jacobs;2;0;8;62;72;72;61;73;71;73;55;69;70;56;64;67;65;20;0;日本;2;0;0;0;0;5001;Akira Jacobs（ジェイコブス 晶）是一名篮球运动员，出生于 2004 年 4 月 13 日。他的身高为六英尺七英寸（2米00 / 6-7）。他是一名投篮后卫，最近效力于 NCAA 的夏威夷勇士队。
23;马场雄大;Yudai Baba;2;0;8;62;72;72;61;73;71;73;55;69;70;56;64;67;65;28;1;日本;2;0;0;0;0;5001;马场雄大（Yudai Baba，1995 年 11 月 7 日出生）是日本职业篮球运动员，效力于 B 联赛长崎维尔卡队。他曾在筑波大学打大学篮球。Baba 曾是日本男子篮球国家队成员。
24;富永启生;Keisei Tominaga;2;0;7;73;71;69;61;59;53;55;67;66;67;63;67;56;62;23;1;日本;2;0;0;0;0;5001;富永啓世（Keisei Tominaga，生于 2001 年 2 月 1 日），日本职业篮球运动员，现效力于美国国家篮球协会（NBA）印第安纳步行者队。他在大学期间曾效力于十大联盟的内布拉斯加玉米队，此前曾效力于兰格学院。富永曾入选日本男子篮球国家队和国家 3x3 篮球队。他是一名控球后卫。
25;杰珀斯-阿吉拉尔;Japeth Aguilar;5;4;7;80;88;81;72;72;86;86;67;83;80;76;87;83;85;37;1;菲律宾;3;0;0;0;0;5001;贾佩思-保罗-卡布雷拉-阿吉拉尔（Japeth Paul Cabrera Aguilar，1987 年 1 月 25 日出生）是菲律宾职业篮球运动员，现效力于菲律宾篮球协会（PBA）的巴兰盖-金布拉-圣米格尔队（Barangay Ginebra San Miguel）。他最初在菲律宾大学体育协会（UAAP）的雅典耀蓝鹰队（Ateneo Blue Eagles）打大学篮球，但两个赛季后，他转到了美国国家大学体育协会一级联赛的西肯塔基大学山顶洞人队（Western Kentucky University Hilltoppers）。
26;琼-玛尔-法哈多;June Mar Fajardo;5;0;7;69;80;69;73;82;84;75;68;81;68;72;77;82;79;34;1;菲律宾;3;0;0;0;0;5001;June Mar Sotto Fajardo（他加禄语：[pɐˈhaɾdo],生于 1989 年 11 月 17 日），菲律宾职业篮球运动员，现效力于菲律宾篮球协会（PBA）的圣米格尔海妖队。他的绰号是 海怪，因为他拥有非凡的体型和精湛的技巧，能与对方的大个子球员对抗。
