image;name;nameBirth;potential;positionFirst;positionSecond;skillPass;skillShotInterior;skillShotExterior;skillShotFree;skillPhysique;skillBlock;skillRebound;skillSteal;tendencyIn;tendencyEx;tendencyFr;ATT;DEF;Ranks;age;draft;info
55;特雷西-麦克格雷迪;Tracy McGrady;9;3;4;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
80;姚明;Yao Ming;11;5;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
84;吉尔伯特-阿里纳斯;Gilbert Arenas;9;2;1;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
87;格雷格-奥登;Greg Oden;8;5;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
101;史蒂夫-弗朗西斯;Steve Francis;8;1;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
124;林书豪;Jeremy Lin;8;2;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
129;斯蒂芬-马布里;Stephon Marbury;10;1;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
144;阿玛雷-斯塔德迈尔;Amare Stoudemire;8;2;1;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
161;易建联;Yi Jianlian;11;4;5;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
165;阿不都沙拉木-阿不都热西提;Abudushalamu Abudurexiti;10;4;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
168;拉夫-阿尔斯通;Rafer Alston;8;1;2;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
171;慈世平;Metta World Peace;8;4;3;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
186;巴特尔;Mengke Bateer;11;5;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
193;杰里-贝勒斯;Jerryd Bayless;8;1;2;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
195;迈克尔-比斯利;Michael Beasley;9;4;3;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
203;卡洛斯-布泽尔;Carlos Boozer;9;4;5;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
204;单涛;Shan Tao;10;5;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
209;丁彦雨航;Ding Yanyuhang;10;4;3;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
224;巩晓彬;Gong Xiaobin;11;4;3;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
225;郭艾伦;Guo Ailun;10;2;1;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
228;胡金秋;Hu Jinqiu;9;4;5;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
229;胡卫东;Hu Weidong;11;2;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
237;艾尔-杰弗森;Al Jefferson;7;4;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
253;泰-劳森;Ty Lawson;7;1;2;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
256;李楠;Li Nan;11;3;2;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
257;李晓勇;Li Xiaoyong;10;1;2;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
260;刘炜;Liu Wei;10;1;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
261;刘玉栋;Liu Yudong;11;4;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
268;肯扬-马丁;Kenyon Martin;7;4;5;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
274;OJ-梅奥;O.J. Mayo;9;2;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
283;穆铁柱;Mu Tiezhu;10;5;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
298;约什-史密斯;Josh Smith;8;4;3;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
299;路易斯-斯科拉;Luis Scola;9;4;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
301;宋涛;Song Tao;10;4;5;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
302;孙军;Sun Jun;11;3;2;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
303;孙悦;Sun Yue;9;3;1;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
308;王仕鹏;Wang Shipeng;9;2;1;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
309;王哲林;Wang Zhelin;10;5;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
310;王治郅;Wang Zhizhi;11;5;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
311;德里克-威廉姆斯;Derrick Williams;7;4;3;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
320;吴乃群;Wu Naiqun;9;4;5;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
321;吴庆龙;Wu Qinglong;10;2;1;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
334;布兰登-詹宁斯;Brandon Jennings;8;1;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
335;赵维伦;Zhao Weilun;9;1;0;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
336;郑武;Zheng Wu;10;2;3;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
337;周鹏;Zhou Peng;9;3;4;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
338;周琦;Zhou Qi;10;4;5;0;0;0;0;0;0;0;0;0;0;0;-25;-25;-25;18;0;0
